profile,shortcode,url,visible_views,clasificacion,confianza,frase_gancho,razon,mensaje_principal,territorio,comentarios,score_total,score_ponderado,tipo_dominante,tier_views,mensaje,categoria_mensaje
emaq_industrial,C8RwfUkuiAz,https://www.instagram.com/emaq_industrial/reel/C8RwfUkuiAz/,27400,CARACTERÍSTICA,baja,,"Caption es solo hashtags de catálogo de equipos (arepas, hornos, marmitas, laminadoras). Sin texto narrativo, el único señal es la lista de productos.",,,,,,,Medio,ATR_DEMO,ATRIBUTO
emaq_industrial,C5a64riOosM,https://www.instagram.com/emaq_industrial/reel/C5a64riOosM/,26000,CARACTERÍSTICA,baja,,"Caption es solo hashtags sobre laminadora de hojaldre. No hay texto, solo la categoría del equipo.",,,,,,,Medio,ATR_DEMO,ATRIBUTO
emaq_industrial,DC4ffCXxDHE,https://www.instagram.com/emaq_industrial/reel/DC4ffCXxDHE/,19500,CARACTERÍSTICA,baja,Contactanos WhatsApp (+57) 318 7049483,Texto se reduce a un CTA de contacto y un listado de hashtags de productos. La señal apunta a catálogo de máquinas.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,C8Ut83mpEf6,https://www.instagram.com/emaq_industrial/reel/C8Ut83mpEf6/,16500,CARACTERÍSTICA,baja,,Solo tres hashtags de la feria Alimentec y de la industria alimentaria. Sin contenido narrativo para inferir intención más allá de presencia en evento.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,C90qDKDJ-_C,https://www.instagram.com/emaq_industrial/reel/C90qDKDJ-_C/,12300,BENEFICIO,media,"Línea de Hornos para panadería: somos especialistas en la fabricación de equipos rentables para tu empresa, con calidad, eficiencia y precios accesibles.","El énfasis está en ""equipos Rentables"", ""calidad"", ""eficiencia"" y ""precios accesibles"" — atributos que prometen impacto económico al negocio del panadero, no solo descripción técnica.",,,,,,,Bajo,BEN_ROI,BENEFICIO
emaq_industrial,C7ZK-gOuo5H,https://www.instagram.com/emaq_industrial/reel/C7ZK-gOuo5H/,8453,CARACTERÍSTICA,alta,Cortadora de tapas empanadas con plástico.,La frase nombra y describe la máquina sin hablar del cliente ni del impacto económico. Foco puro en el equipo.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,CwViTT-pw52,https://www.instagram.com/emaq_industrial/reel/CwViTT-pw52/,6926,BENEFICIO,alta,"Buscas rentabilizar ese negocio de Arepas, Nosotros te asesoramos.","Hook abre con ""rentabilizar el negocio"" — la promesa es directamente económica para el dueño del negocio, no descripción técnica.",,,,,,,Bajo,BEN_ROI,BENEFICIO
emaq_industrial,CjoutX1vwLI,https://www.instagram.com/emaq_industrial/reel/CjoutX1vwLI/,6037,VALOR,baja,Equipamos tus sueños.,"Único texto narrativo es el slogan ""Equipamos tus sueños"", una apelación aspiracional al emprendedor por encima de la especificación.",,,,,,,Bajo,VAL_SUEÑO,VALOR
emaq_industrial,CsemhzGpzAz,https://www.instagram.com/emaq_industrial/reel/CsemhzGpzAz/,5890,CARACTERÍSTICA,alta,"Laminadoras industriales de hojaldre, equipo para empastillado o laminado de masas de trigo, muy utilizado en panadería.","Descripción técnica del equipo y su uso. Calidad y precio aparecen al final como complemento, pero el cuerpo es feature-led.",,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,ClOmynXsApO,https://www.instagram.com/emaq_industrial/reel/ClOmynXsApO/,5816,CARACTERÍSTICA,alta,Laminadora para arepas rellenas.,Título nombra la función específica de la máquina (rellenado de arepas). Resto son hashtags y contacto.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,CnSsSG_NRCW,https://www.instagram.com/emaq_industrial/reel/CnSsSG_NRCW/,5509,CARACTERÍSTICA,baja,,"Caption es solo hashtags sobre hornos para tortillas/tacos. Sin texto, solo categoría del equipo.",,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,CmcSMM8NqMd,https://www.instagram.com/emaq_industrial/reel/CmcSMM8NqMd/,4939,CARACTERÍSTICA,baja,,Caption es solo hashtags sobre peladora de papas industrial. Sin contexto narrativo.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,Cv8AefbJ-06,https://www.instagram.com/emaq_industrial/reel/Cv8AefbJ-06/,4819,CARACTERÍSTICA,baja,,"Hashtag #comohacerarepas más lista de equipos para arepas. No hay texto, solo nombres de equipo.",,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,ClEcJEMJaBe,https://www.instagram.com/emaq_industrial/reel/ClEcJEMJaBe/,4760,CARACTERÍSTICA,alta,Hornos industriales de túnel.,Encabezado nombra explícitamente la línea de equipos (hornos de túnel). Sin lenguaje de beneficio para el cliente.,,,,,,,Bajo,ATR_DEMO,ATRIBUTO
emaq_industrial,C7XufLupUTg,https://www.instagram.com/emaq_industrial/reel/C7XufLupUTg/,4183,CARACTERÍSTICA,alta,Equipo industrial para laminado y corte de masas de trigo en alta producción.,"Descripción del equipo y su uso técnico. ""Alta producción"" funciona como rasgo del equipo, no como promesa al negocio.",,,,,,,Bajo,ATR_CAPACIDAD,ATRIBUTO
emaq_industrial,DR0CztED_EK,https://www.instagram.com/emaq_industrial/reel/DR0CztED_EK/,1429,CARACTERÍSTICA,alta,Laminadora tortillas y totopos.,"Frase nombra la máquina y su aplicación. Foco en el equipo, sin mención al cliente.",,,,,,,Bajo,ATR_DEMO,ATRIBUTO
ferrero_machines,DUmUH0Mkr0d,https://www.instagram.com/ferrero_machines/reel/DUmUH0Mkr0d/,7108,VALOR,alta,"Miles de kilómetros, un mismo propósito.","El hook abre con propósito y el cuerpo cuenta la historia de visitar emprendedores en EE.UU., sus familias y cocinas reales. La máquina es soporte; el protagonista es la identidad y los sueños del cliente.",,,,,,,Bajo,VAL_COMUNIDAD,VALOR
ferrero_machines,DXK1owekghZ,https://www.instagram.com/ferrero_machines/reel/DXK1owekghZ/,6171,VALOR,media,Vinimos a ver la producción y terminamos enamorados de la mega empanada.,"Anécdota emocional de visita a un cliente, sin spec ni promesa económica. La empanada y la experiencia son el centro.",,,,,,,Bajo,VAL_COMUNIDAD,VALOR
ferrero_machines,DXP4GHClEEu,https://www.instagram.com/ferrero_machines/reel/DXP4GHClEEu/,5585,VALOR,baja,"""Quiero una empanada de Ferrico y Querrero"".",Es un meme/momento de marca (juego de palabras con Ferrero y Querrico). Sin contenido sobre la máquina ni sobre rendimiento.,,,,,,,Bajo,VAL_COMUNIDAD,VALOR
ferrero_machines,DVwO4OQlJ5b,https://www.instagram.com/ferrero_machines/reel/DVwO4OQlJ5b/,5298,BENEFICIO,alta,"Cuando tu negocio crece, necesitas algo más que esfuerzo.","El cuerpo describe cómo Don Gil ordenó su operación: eliminar cuellos de botella, tecnificar procesos, sostener crecimiento. Todo es impacto operacional sobre el negocio del cliente.",,,,,,,Bajo,BEN_ESCALAR,BENEFICIO
