faq_question,count,group,subgroup
Cómo puedo cotizar una máquina,430,Calificado,Presupuesto/Precio
Se puede hacer un pedido para hoy,1,Calificado,Urgencia/Plazo
Cuál es la capacidad de producción,43,Diagnostico,Capacidad/Produccion
Cuántos operarios se necesitan para operar la CM05S,1,Diagnostico,Capacidad/Produccion
La máquina de empanadas tiene rodachines para moverla fácilmente,1,Diagnostico,Compatibilidad/Materiales
Incluyen instalación o capacitación,2,Diagnostico,Dimensiones/Instalacion
Incluye pre fritura,1,Diagnostico,Otros
La máquina de empanadas hace mucho ruido.,1,Diagnostico,Otros
Tienen máquinas de empanadas que funcionen para plátano,15,Diagnostico,Producto/Modelo
El compresor es especial o cualquier compresor sirve,4,Diagnostico,Producto/Modelo
Tienen máquinas para desmechar carne,4,Diagnostico,Producto/Modelo
Es necesario usar masa de harina laminada o se puede usar una bola de masa,2,Diagnostico,Producto/Modelo
Cuál es la mejor harina para la maquinaria de empanadas,1,Diagnostico,Producto/Modelo
Cuál es la máquina base,1,Diagnostico,Producto/Modelo
Manejan máquinas para moler masa,1,Diagnostico,Producto/Modelo
Se pueden fabricar pasteles de pollo con esta máquina,1,Diagnostico,Producto/Modelo
Tienen máquinas de empanadas que se puedan manejar con una sola persona,1,Diagnostico,Producto/Modelo
Tienen máquinas que hagan aborrajados,1,Diagnostico,Producto/Modelo
Una máquina puede producir maíz y trigo,1,Diagnostico,Producto/Modelo
Pueden enviar la ficha técnica,108,Diagnostico,Requisitos tecnicos
Qué voltaje requiere la máquina,4,Diagnostico,Requisitos tecnicos
Cuál es el mínimo requerido para la máquina,3,Diagnostico,Requisitos tecnicos
Dónde están ubicados,122,Otros,Otros
Tienen un video del funcionamiento de la máquina de empanadas,86,Otros,Otros
Venden máquinas en Colombia,46,Otros,Otros
Tienen moldes o kits disponibles,42,Otros,Otros
Venden máquinas de empanadas de segunda mano,26,Otros,Otros
Cuáles son las formas de pago,18,Otros,Otros
Qué información tienen sobre la máquina de empanadas,10,Otros,Otros
Con cuántas máquinas de empanadas debo iniciar este emprendimiento,7,Otros,Otros
Cuál es el servicio técnico autorizado para la máquina de empanadas,7,Otros,Otros
Cómo agendar una demostración,7,Otros,Otros
La máquina tiene garantía,7,Otros,Otros
Cuál es la mejor máquina de empanadas que me recomiendas,6,Otros,Otros
Tienen laminadora de trigo,6,Otros,Otros
Tienen ofertas disponibles,5,Otros,Otros
Puedo visitar la tienda para ver las máquinas de empanadas,4,Otros,Otros
Se pueden añadir accesorios para hacer arepas,4,Otros,Otros
Tienen máquinas para amasar maíz,4,Otros,Otros
Cuál es el horario de atención,3,Otros,Otros
Cuánto tiempo se demora en llegar,3,Otros,Otros
De qué país son las máquinas de empanadas,3,Otros,Otros
Elaboran máquinas,3,Otros,Otros
Ustedes venden máquinas para moler y mezclar yuca,3,Otros,Otros
Cuál es la máquina de empanadas más sencilla,2,Otros,Otros
Cómo contacto al equipo de ventas,2,Otros,Otros
Tienen una máquina más mecanizada,2,Otros,Otros
Venden la máquina o es solo franquicia,2,Otros,Otros
Cuál es la diferencia entre esta máquina y la otra,1,Otros,Otros
Cuál es la máquina de empanadas más comprada,1,Otros,Otros
Cuáles son los mantenimientos necesarios para las máquinas de empanadas,1,Otros,Otros
Cómo hacer 200 o 300 empanadas,1,Otros,Otros
Cómo puedo acceder a la presentación del producto,1,Otros,Otros
El disco se gira manualmente,1,Otros,Otros
Fabrican empanadas o solo venden equipos,1,Otros,Otros
Han enviado ya a Panamá,1,Otros,Otros
Hay una máquina que sirva para todos los tipos de empanadas,1,Otros,Otros
La máquina de empanadas también sirve para hacer pastel de yuca,1,Otros,Otros
La máquina está a la venta,1,Otros,Otros
Las máquinas de empanadas de trigo vienen con nombre,1,Otros,Otros
Qué hacer si la máquina de empanadas falla,1,Otros,Otros
Qué incluye la compra de la máquina de empanadas,1,Otros,Otros
Qué seguridad tengo de recibir mi máquina y no perder mi dinero,1,Otros,Otros
Se puede hacer un curso de introducción virtual o tiene que ser presencial,1,Otros,Otros
Tienen puntos de venta de empanadas en su país,1,Otros,Otros
Tienen todos los documentos para la facturación de la máquina,1,Otros,Otros
Tienen un accesorio nuevo para la máquina,1,Otros,Otros
Tienen una página web,1,Otros,Otros
Venden amasadoras,1,Otros,Otros
