marca,profile,shortcode,url,views,clasificacion,confianza,frase_gancho,razon,atributo_tecnico,beneficio_operativo,valor_emocional,mensaje_principal,submensaje,cta,comentarios,log_views,tier_views
EMAQ Industrial,emaq_industrial,C8RwfUkuiAz,https://www.instagram.com/emaq_industrial/reel/C8RwfUkuiAz/,27400,CARACTERÍSTICA,baja,,"Caption es solo hashtags de catálogo de equipos (arepas, hornos, marmitas, laminadoras). Sin texto narrativo, el único señal es la lista de productos.",,,,,,,,4.437766412694732,Medio
EMAQ Industrial,emaq_industrial,C5a64riOosM,https://www.instagram.com/emaq_industrial/reel/C5a64riOosM/,26000,CARACTERÍSTICA,baja,,"Caption es solo hashtags sobre laminadora de hojaldre. No hay texto, solo la categoría del equipo.",,,,,,,,4.414990051283522,Medio
EMAQ Industrial,emaq_industrial,DC4ffCXxDHE,https://www.instagram.com/emaq_industrial/reel/DC4ffCXxDHE/,19500,CARACTERÍSTICA,baja,Contactanos WhatsApp (+57) 318 7049483,Texto se reduce a un CTA de contacto y un listado de hashtags de productos. La señal apunta a catálogo de máquinas.,,,,,,,,4.290056882303365,Bajo
EMAQ Industrial,emaq_industrial,C8Ut83mpEf6,https://www.instagram.com/emaq_industrial/reel/C8Ut83mpEf6/,16500,CARACTERÍSTICA,baja,,Solo tres hashtags de la feria Alimentec y de la industria alimentaria. Sin contenido narrativo para inferir intención más allá de presencia en evento.,,,,,,,,4.217510264294027,Bajo
EMAQ Industrial,emaq_industrial,C90qDKDJ-_C,https://www.instagram.com/emaq_industrial/reel/C90qDKDJ-_C/,12300,BENEFICIO,media,"Línea de Hornos para panadería: somos especialistas en la fabricación de equipos rentables para tu empresa, con calidad, eficiencia y precios accesibles.","El énfasis está en ""equipos Rentables"", ""calidad"", ""eficiencia"" y ""precios accesibles"" — atributos que prometen impacto económico al negocio del panadero, no solo descripción técnica.",,,,,,,,4.089940418498634,Bajo
EMAQ Industrial,emaq_industrial,C7ZK-gOuo5H,https://www.instagram.com/emaq_industrial/reel/C7ZK-gOuo5H/,8453,CARACTERÍSTICA,alta,Cortadora de tapas empanadas con plástico.,La frase nombra y describe la máquina sin hablar del cliente ni del impacto económico. Foco puro en el equipo.,,,,,,,,3.9270622434930003,Bajo
EMAQ Industrial,emaq_industrial,CwViTT-pw52,https://www.instagram.com/emaq_industrial/reel/CwViTT-pw52/,6926,BENEFICIO,alta,"Buscas rentabilizar ese negocio de Arepas, Nosotros te asesoramos.","Hook abre con ""rentabilizar el negocio"" — la promesa es directamente económica para el dueño del negocio, no descripción técnica.",,,,,,,,3.8405451876368386,Bajo
EMAQ Industrial,emaq_industrial,CjoutX1vwLI,https://www.instagram.com/emaq_industrial/reel/CjoutX1vwLI/,6037,VALOR,baja,Equipamos tus sueños.,"Único texto narrativo es el slogan ""Equipamos tus sueños"", una apelación aspiracional al emprendedor por encima de la especificación.",,,,,,,,3.7808931086870787,Bajo
EMAQ Industrial,emaq_industrial,CsemhzGpzAz,https://www.instagram.com/emaq_industrial/reel/CsemhzGpzAz/,5890,CARACTERÍSTICA,alta,"Laminadoras industriales de hojaldre, equipo para empastillado o laminado de masas de trigo, muy utilizado en panadería.","Descripción técnica del equipo y su uso. Calidad y precio aparecen al final como complemento, pero el cuerpo es feature-led.",,,,,,,,3.7701890227359933,Bajo
EMAQ Industrial,emaq_industrial,ClOmynXsApO,https://www.instagram.com/emaq_industrial/reel/ClOmynXsApO/,5816,CARACTERÍSTICA,alta,Laminadora para arepas rellenas.,Título nombra la función específica de la máquina (rellenado de arepas). Resto son hashtags y contacto.,,,,,,,,3.7646990637983677,Bajo
